READ_DATE,KWH_EXP,tavg,tmin,tmax,wdir,wspd,pres,Tavg,RH_avg,RR,ss,KWH_EXP_MA,KWH_EXP_ES,trend_ma,cycle_ma
2021-11-25,122.89598102944528,27.4,24.6,32.3,123.0,6.8,1007.2,27.8,82.0,0.0,4.5,100.18645181823503,126.84924632135343,59.119137338717266,41.06731447951776
2021-11-26,144.52840805512022,26.7,24.9,31.9,138.0,7.1,1007.0,27.2,86.0,7.5,5.4,102.94101492317672,135.06833390583068,59.12203207979193,43.818982843384795
2021-11-27,147.52598755212497,26.8,24.3,31.5,141.0,5.8,1007.1,26.4,88.0,36.0,6.6,106.00869660343042,144.3876894535864,59.12492219885064,46.88377440457978
2021-11-28,143.13664528976594,26.3,24.0,32.6,119.0,5.7,1007.3,26.7,88.0,11.8,5.6,108.5252210341423,148.04393768617007,59.12780769294498,49.39741334119733
2021-11-29,140.3324431762384,27.1,23.2,31.1,118.0,4.6,1007.5,26.9,88.0,2.1,4.9,110.7803524877564,143.22261524902132,59.130688559549185,51.64966392820722
2021-11-30,138.46288446061735,27.1,24.2,32.4,105.0,5.9,1007.4,26.6,89.0,2.4000000000000004,0.6,113.0625057465306,140.45544563705718,59.1335647965828,53.9289409499478
2021-12-01,133.07580081605286,23.9,23.8,27.3,30.0,4.2,1008.3,27.420062705347988,21.1,2.7,0.3,114.86307035201972,136.71494706852752,59.136436402431,55.72663394958872
2021-12-02,113.26524760170724,25.9,22.6,29.9,133.0,6.2,1008.6,26.2,90.0,41.0,0.0,116.26766217373097,131.47461654482873,59.139303375965135,57.128358797765834
2021-12-03,134.00220294705153,27.4,23.9,30.8,96.0,8.5,1008.7,27.4,86.0,3.2,5.5,118.36723812553929,122.99665258554904,59.14216571655888,59.22507240898041
2021-12-04,131.3869288156553,27.8,24.2,30.6,255.0,6.9,1008.4,27.8,83.0,0.0,6.9,120.49974256523151,128.635132862852,59.14502342410091,61.3547191411306
2021-12-05,130.01267691037904,26.5,24.5,32.1,112.0,7.3,1007.8,26.5,89.0,0.0,7.7,122.08980665154722,130.07192278729664,59.14787649901379,62.94193015253343
2021-12-06,136.570848178623,26.4,23.6,30.4,163.0,4.7,1007.1,26.4,91.0,32.2,5.4,123.88511407402372,132.3540825907347,59.15072494227318,64.73438913175053
2021-12-07,140.5467298774387,26.8,24.5,30.8,76.0,5.4,1007.8,26.8,88.0,9.0,2.3,125.34506828539266,131.08402038050352,59.153568755422164,66.19149952997049
2021-12-08,139.29646715957148,28.3,24.0,32.8,141.0,7.3,1008.5,28.2,80.0,4.5,1.6,127.02562707664256,133.27629895110246,59.156407940587414,67.86921913605515
2021-12-09,60.21135371207432,28.4,24.0,32.6,136.0,6.7,1008.4,28.4,79.0,0.0,11.5,125.70868297872543,124.11677163055879,59.15924250049227,66.54944047823317
2021-12-10,140.6476858061265,28.0,24.8,32.5,130.0,5.8,1008.1,27.9,81.0,0.0,8.0,126.61494785155323,96.64517505848704,59.162072438471895,67.45287541308133
2021-12-11,148.00416199505668,27.4,24.9,31.5,120.0,7.2,1008.0,27.3,84.0,3.7,8.3,128.14129200947596,125.77747390695605,59.16489775846136,68.9763942510146
2021-12-12,145.33897500024707,26.8,23.5,32.0,148.0,6.8,1007.8,26.6,88.0,3.1500000000000004,7.5,129.2551640304005,138.29131562645097,59.16771846500379,70.0874455653967
2021-12-13,135.88545231325656,26.7,23.9,31.8,132.0,6.2,1006.8,26.6,88.0,2.6,7.2,130.00851174634744,140.7081645908929,59.17053456326409,70.83797718308335
2021-12-14,142.81150900356533,27.8,23.8,31.3,131.0,6.9,1006.5,27.8,87.0,3.5,5.6,131.0679247721661,140.6358078169279,59.17334605903902,71.89457871312707
2021-12-15,141.78601083691152,28.2,25.0,32.4,135.0,6.8,1007.1,28.2,83.0,0.1,6.6,131.8637147239842,140.8410621288642,59.176152958763915,72.6875617652203
2021-12-16,115.09927250197104,29.0,24.4,33.1,108.0,7.9,1007.5,29.0,83.0,0.0,7.5,131.93434669463744,137.85311154241512,59.178955269522255,72.75539142511519
2021-12-17,137.5391764407008,29.0,25.5,34.0,139.0,7.9,1007.3,29.0,81.0,0.0,10.9,132.0129356264007,125.2703923373255,59.18175299905281,72.83118262734789
