Tanggal,Tavg,RH_avg,RR,ss
2020-05-26,28.1,84.0,0.0,5.9
2020-05-27,27.6,86.0,8.4,8.9
2020-05-28,28.0,82.0,0.0,7.5
2020-05-29,27.4,86.0,35.5,8.1
2020-05-30,28.2,82.0,31.9,7.8
2020-05-31,28.2,78.0,0.0,9.1
2020-06-01,27.6,75.0,0.0,10.5
2020-06-02,27.6,74.0,0.0,10.7
2020-06-03,27.4,71.0,0.0,10.2
2020-06-04,26.7,75.0,0.0,10.7
2020-06-05,27.1,72.0,0.0,10.8
2020-06-06,26.9,76.0,0.0,10.8
2020-06-07,26.2,79.0,0.0,8.6
2020-06-08,27.0,74.0,0.0,7.8
2020-06-09,26.5,74.0,0.0,11.1
2020-06-10,26.1,78.0,0.0,9.9
2020-06-11,26.5,79.0,0.0,10.3
2020-06-12,27.1,78.0,0.0,10.8
2020-06-13,28.0,77.0,0.0,10.2
2020-06-14,28.0,80.0,0.0,6.6
2020-06-15,28.3,71.0,0.0,4.4
2020-06-16,27.2,74.0,0.0,10.9
2020-06-17,28.0,69.0,0.0,10.3
2020-06-18,27.9,69.0,0.0,10.2
2020-06-19,27.8,70.0,0.0,10.6
2020-06-20,27.4,70.0,0.0,10.1
2020-06-21,27.8,68.0,0.0,8.7
2020-06-22,27.4,72.0,0.0,6.9
2020-06-23,27.1,67.0,0.0,10.9
2020-06-24,27.9,62.0,0.0,10.8
2020-06-25,26.5,71.0,0.0,10.6
2020-06-26,27.0,71.0,0.0,9.9
2020-06-27,26.3,77.0,0.0,9.5
2020-06-28,27.0,74.0,0.6,6.4
2020-06-29,26.5,68.0,0.0,9.8
2020-06-30,26.9,71.0,0.0,6.5
2020-07-01,26.3,74.0,0.0,10.0
2020-07-02,26.6,70.0,0.0,10.7
2020-07-03,26.4,69.0,0.0,10.9
2020-07-04,27.3,70.0,0.0,10.6
2020-07-05,27.0,73.0,0.0,9.2
2020-07-06,27.4,70.0,0.3,5.8
2020-07-07,27.1,71.0,0.0,2.3
2020-07-08,27.2,69.0,0.0,10.7
2020-07-09,27.3,72.0,0.0,10.8
2020-07-10,26.7,68.0,0.0,10.7
2020-07-11,26.7,73.0,0.0,8.8
2020-07-12,27.0,70.0,0.0,8.5
2020-07-13,27.0,72.0,0.0,10.1
2020-07-14,27.5,68.0,0.0,9.1
2020-07-15,27.1,63.0,0.0,8.1
2020-07-16,26.3,70.0,0.0,10.7
2020-07-17,26.5,74.0,0.0,10.5
2020-07-18,27.6,72.0,0.0,8.9
2020-07-19,27.3,75.0,0.0,8.4
2020-07-20,27.8,74.0,0.0,7.7
2020-07-21,26.8,73.0,0.0,9.6
2020-07-22,27.1,70.0,0.0,10.8
2020-07-23,26.5,70.0,0.0,9.7
2020-07-24,25.8,66.0,0.0,10.8
2020-07-25,27.39264264264264,10.7,0.0,10.75
2020-07-26,25.6,68.0,0.0,10.7
2020-07-27,26.1,68.0,0.0,9.5
2020-07-28,25.7,70.0,0.0,10.6
2020-07-29,25.2,68.0,0.0,10.5
2020-07-30,26.1,68.0,0.0,10.5
2020-07-31,26.2,69.0,0.0,10.7
2020-08-01,25.7,70.0,0.0,10.7
2020-08-02,25.1,71.0,0.0,10.7
2020-08-03,25.6,75.0,0.0,10.6
2020-08-04,26.5,75.0,0.0,9.8
2020-08-05,26.2,73.0,0.0,9.6
2020-08-06,26.6,70.0,0.0,8.0
2020-08-07,25.3,76.0,0.0,9.2
2020-08-08,25.6,78.0,0.0,7.2
2020-08-09,26.6,76.0,0.0,10.5
2020-08-10,27.0,78.0,0.0,10.4
2020-08-11,27.5,77.0,0.0,9.7
2020-08-12,28.3,77.0,0.0,10.4
2020-08-13,27.9,72.0,0.9,10.3
2020-08-14,26.9,77.0,0.0,5.1
2020-08-15,27.3,78.0,0.0,8.1
2020-08-16,27.0,70.0,0.0,10.6
2020-08-17,27.6,70.0,0.0,10.2
2020-08-18,27.6,65.0,0.0,10.5
2020-08-19,27.0,68.0,0.0,10.2
2020-08-20,27.1,68.0,0.0,9.7
2020-08-21,27.3,68.0,0.0,10.2
2020-08-22,27.6,64.0,0.0,10.6
2020-08-23,27.3,66.0,0.0,10.5
2020-08-24,27.0,74.0,0.0,10.9
